epoch	host_time	pid	memavail_kb	total_pss_kb	total_rss_kb	gl_mtrack_kb	egl_mtrack_kb	swap_pss_kb
1783087990	07:13:10		2719484					
1783087995	07:13:15	7731	1975532					
1783088000	07:13:20	7731	1709336					
1783088006	07:13:26	7731	1750976					
1783088011	07:13:31	7731	1744352					
1783088016	07:13:36	7731	1670352					
1783088021	07:13:41	7731	382460	3507348	3343352	3220392	58140	216080
1783088028	07:13:48	7731	216884					
1783088033	07:13:53	7731	205660					
1783088038	07:13:58		3227300					
1783088044	07:14:04	9596	2233772					
1783088049	07:14:09	9596	1867656					
1783088054	07:14:14	9596	1940128	72893	100932			57302
1783088059	07:14:19	9596	2025960					
1783088064	07:14:24	9596	2035756					
1783088070	07:14:30	9596	2044684					
1783088075	07:14:35	9596	2041908					
1783088080	07:14:40	9596	2083420					
1783088085	07:14:45	9596	2077156	80725	116636			52182
1783088090	07:14:50	9596	2103576					
1783088095	07:14:55		2706016					
1783088101	07:15:01		2740832					
1783088106	07:15:06	11127	2095268					
1783088111	07:15:11	11127	1762492					
1783088116	07:15:16	11127	1755464	229223	372164	5268	36416	296
1783088122	07:15:22	11127	1734920					
1783088127	07:15:27	11127	1242368					
1783088132	07:15:32	11127	1485244					
1783088137	07:15:37	11127	1348816					
1783088142	07:15:42	11127	1259032					
1783088147	07:15:47	11127	1173812	2421512	2364304	1686100	58140	153513
1783088153	07:15:53	11127	1151568					
1783088158	07:15:58	11127	1139488					
1783088163	07:16:03	11127	1008796					
1783088168	07:16:08	11127	972812					
1783088173	07:16:13	11127	963960					
1783088178	07:16:18	11127	947264	2117305	2068524	1683532	58140	148140
1783088184	07:16:24	11127	946824					
1783088189	07:16:29	11127	963032					
1783088194	07:16:34	11127	957536					
1783088199	07:16:39	11127	962492					
1783088204	07:16:44	11127	956140					
1783088210	07:16:50	11127	948368	2098055	2055800	1682964	58140	142979
1783088215	07:16:55	11127	944176					
1783088220	07:17:00	11127	949612					
1783088225	07:17:05	11127	950516					
1783088230	07:17:10	11127	963760					
1783088236	07:17:16	11127	956164					
1783088241	07:17:21	11127	962492	2027536	1974272	1680616	58140	154356
1783088246	07:17:26	11127	944856					
1783088251	07:17:31	11127	881132					
1783088257	07:17:37	11127	873752					
1783088262	07:17:42	11127	904656					
1783088267	07:17:47	11127	905724					
1783088272	07:17:52	11127	903780	1901641	1848016	1559328	58140	154527
1783088277	07:17:57	11127	883236					
1783088283	07:18:03	11127	920424					
