epoch	time	thermal_status	battery_c	virtual_skin_c	skin_therm1_c	skin_therm2_c	neutral_c	quiet_c	disp_c	charger_skin_c	tpu_c	cellular_c	batt_level	cool_cpu0	cool_cpu1	cool_cpu2	cool_gpu	cool_tpu	note
1783082795	05:46:35	0	22.6	25.279404	25.933	26.518002	24.364	24.036001	24.059002	27.385002	30.000002	25.279404	76	0	0	0	0	2	
1783082810	05:46:50	0	22.7	25.271252	25.956001	26.542002	24.317001	24.036001	24.012001	27.408	30.000002	25.271252	76	0	0	0	0	2	
1783082825	05:47:05	0	22.6	25.281551	26.026001	26.518002	24.317001	23.989	24.059002	27.431002	29.000002	25.281551	76	0	0	0	0	2	
1783082841	05:47:21	0	22.6		25.933	26.448002	24.293001	23.989	24.059002	27.385002	29.000002		76	0	0	0	0	2	
1783082856	05:47:36	0	22.6	25.246603	25.933	26.471	24.317001	23.989	24.012001	27.385002	29.000002	25.246603	76	0	0	0	0	2	
1783082871	05:47:51	0	22.6	25.196102	25.909	26.354002	24.27	23.965002	23.989	27.268002	29.000002	25.196102	76	0	0	0	0	2	
1783082886	05:48:06	0	22.6	25.248703	26.003002	26.495	24.293001	23.989	23.989	27.408	30.000002	25.248703	76	0	0	0	0	2	
1783082901	05:48:21	0	22.7	25.739101	27.080002	27.61	24.340002	24.036001	24.012001	30.147001	38.0	25.739101	76	0	0	0	0	2	
1783082917	05:48:37	0	22.6	26.863	28.945002	28.745	24.879002	24.129002	24.036001	31.572002	44.000004	26.863	76	0	0	0	0	2	
1783082932	05:48:52	0	22.6	28.079752	31.015001	30.859001	25.394001	24.223001	24.106	35.0	52.000004	28.079752	76	0	0	0	0	2	
1783082947	05:49:07	0	22.7	29.228504	32.796	32.373	25.979002	24.387001	24.153002	37.827003	52.000004	29.228504	76	0	0	0	0	2	
1783082962	05:49:22	0	22.7	29.780104	32.752003	32.462	26.776001	24.645	24.340002	35.712	39.0	29.780104	76	0	0	0	0	2	
1783082977	05:49:37	0	22.800001	28.87845	30.949001	31.082	26.659	24.738	24.481	33.197002	35.0	28.87845	76	0	0	0	0	2	
1783082992	05:49:52	0	22.800001	27.843702	29.279001	29.591002	26.261002	24.832	24.621	30.837002	34.0	27.843702	76	0	0	0	0	2	
1783083007	05:50:07	0	22.900002	27.423304	28.634	29.012001	26.050001	24.855001	24.738	30.414001	33.0	27.423304	76	0	0	0	0	2	
1783083023	05:50:23	0	23.000002	27.05905	28.144001	28.544	25.839	24.809002	24.762001	29.657001	32.0	27.05905	76	0	0	0	0	2	
1783083038	05:50:38	0	23.000002	26.848803	27.854002	28.211	25.675001	24.785002	24.715002	29.257002	31.000002	26.848803	76	0	0	0	0	2	
1783083053	05:50:53	0	23.1	26.586252	27.498001	27.921001	25.488	24.691002	24.691002	28.834002	31.000002	26.586252	76	0	0	0	0	2	
1783083068	05:51:08	0	23.1	26.445553	27.338001	27.721	25.394001	24.668001	24.691002	28.7	31.000002	26.445553	76	0	0	0	0	2	
1783083083	05:51:23	0	23.1	26.384153	27.268002	27.654001	25.347002	24.691002	24.668001	28.678001	31.000002	26.384153	76	0	0	0	0	2	
1783083098	05:51:38	0	23.2	26.27055	27.127	27.498001	25.277	24.668001	24.621	28.455002	31.000002	26.27055	76	0	0	0	0	2	
1783083113	05:51:53	0	23.2	26.12935	26.94	27.385002	25.136002	24.574001	24.574001	28.255001	30.000002	26.12935	76	0	0	0	0	2	
1783083129	05:52:09	0	23.1	26.055552	26.799002	27.244001	25.113	24.598001	24.598001	28.188002	31.000002	26.055552	76	0	0	0	0	2	
1783083144	05:52:24	0	23.2	25.998152	26.752	27.221	25.066002	24.527	24.551	28.188002	31.000002	25.998152	76	0	0	0	0	2	
1783083159	05:52:39	0	23.1	25.964352	26.705002	27.174002	25.043001	24.551	24.504002	28.033	30.000002	25.964352	76	0	0	0	0	2	
1783083174	05:52:54	0	23.2	25.871902	26.612001	27.080002	24.926	24.504002	24.504002	28.010002	30.000002	25.871902	76	0	0	0	0	2	
1783083189	05:53:09	0	23.1	25.853151	26.518002	27.127	24.926	24.457	24.434002	28.010002	30.000002	25.853151	76	0	0	0	0	2	
1783083204	05:53:24	0	23.1	25.782951	26.542002	27.010002	24.809002	24.410002	24.457	27.921001	30.000002	25.782951	76	0	0	0	0	2	
1783083219	05:53:39	0	23.000002	25.752401	26.495	26.987001	24.785002	24.457	24.410002	27.854002	30.000002	25.752401	76	0	0	0	0	2	
1783083235	05:53:55	0	23.000002	25.698603	26.448002	26.916	24.762001	24.387001	24.387001	28.010002	30.000002	25.698603	76	0	0	0	0	2	
1783083250	05:54:10	0	23.000002	25.656399	26.378002	26.869001	24.715002	24.340002	24.340002	28.010002	30.000002	25.656399	76	0	0	0	0	2	
1783083265	05:54:25	0	23.000002	25.642004	26.354002	26.893002	24.691002	24.364	24.340002	27.854002	30.000002	25.642004	76	0	0	0	0	2	
1783083280	05:54:40	0	22.900002	25.579103	26.284	26.799002	24.645	24.317001	24.293001	27.565	30.000002	25.579103	76	0	0	0	0	2	
1783083295	05:54:55	0	22.900002	25.56265	26.284	26.752	24.645	24.317001	24.293001	27.676	30.000002	25.56265	76	0	0	0	0	2	
1783083310	05:55:10	0	22.900002	25.5321	26.19	26.729002	24.621	24.27	24.246	27.61	30.000002	25.5321	76	0	0	0	0	2	
1783083325	05:55:25	0	22.900002	25.487501	26.19	26.705002	24.551	24.246	24.223001	27.61	30.000002	25.487501	76	0	0	0	0	2	
1783083341	05:55:41	0	22.800001	25.44905	26.167002	26.635002	24.504002	24.223001	24.2	27.565	30.000002	25.44905	76	0	0	0	0	2	
1783083356	05:55:56	0	22.800001	25.4316	26.097002	26.612001	24.504002	24.176	24.2	27.565	29.000002	25.4316	76	0	0	0	0	2	
1783083371	05:56:11	0	22.800001	25.43725	26.097002	26.635002	24.504002	24.176	24.176	27.521002	30.000002	25.43725	76	0	0	0	0	2	
1783083386	05:56:26	0	22.800001	25.4211	26.12	26.659	24.481	24.153002	24.153002	27.565	30.000002	25.4211	76	0	0	0	0	2	
1783083401	05:56:41	0	22.800001	25.392752	26.12	26.588001	24.457	24.106	24.106	27.498001	29.000002	25.392752	76	0	0	0	0	2	
1783083416	05:56:56	0	22.7	25.371801	26.050001	26.612001	24.434002	24.129002	24.129002	27.476002	30.000002	25.371801	76	0	0	0	0	2	
1783083431	05:57:11	0	22.7	25.345802	26.026001	26.542002	24.410002	24.083002	24.106	27.431002	29.000002	25.345802	76	0	0	0	0	2	
1783083447	05:57:27	0	22.7		26.073002	26.588001	24.434002	24.106	24.129002	27.498001	30.000002		76	0	0	0	0	2	
1783083462	05:57:42	0	22.7	25.327202	26.003002	26.565	24.387001	24.083002	24.106	27.498001	30.000002	25.327202	76	0	0	0	0	2	
1783083477	05:57:57	0	22.7	25.293402	25.979002	26.518002	24.364	24.083002	24.059002	27.431002	29.000002	25.293402	76	0	0	0	0	2	
1783083492	05:58:12	0	22.7	25.257051	25.956001	26.448002	24.317001	24.012001	24.059002	27.197	29.000002	25.257051	76	0	0	0	0	2	
1783083507	05:58:27	0	22.7	25.233652	25.886002	26.448002	24.317001	24.036001	24.059002	27.361002	29.000002	25.233652	76	0	0	0	0	2	
1783083522	05:58:42	0	22.6	25.224201	25.933	26.471	24.293001	24.012001	24.012001	27.408	29.000002	25.224201	76	0	0	0	0	2	
1783083537	05:58:57	0	22.6	25.245201	25.956001	26.471	24.293001	23.989	24.036001	27.454	30.000002	25.245201	76	0	0	0	0	2	
1783083553	05:59:13	0	22.6	25.247602	25.979002	26.542002	24.27	23.989	24.036001	27.476002	30.000002	25.247602	76	0	0	0	0	2	
1783083568	05:59:28	0	22.6	25.217154	25.909	26.495	24.27	23.942001	23.942001	27.431002	29.000002	25.217154	76	0	0	0	0	2	
1783083583	05:59:43	0	22.6	25.198202	25.909	26.424002	24.246	23.965002	23.989	27.314001	29.000002	25.198202	76	0	0	0	0	2	
1783083598	05:59:58	0	22.6	25.198252	25.862001	26.424002	24.293001	23.965002	23.965002	27.268002	30.000002	25.198252	76	0	0	0	0	2	
1783083613	06:00:13	0	22.500002	25.2415	25.979002	26.588001	24.246	23.919	23.942001	27.966002	30.000002	25.2415	76	0	0	0	0	2	
1783083628	06:00:28	0	22.500002	25.205301	25.886002	26.518002	24.246	23.895	23.919	27.454	30.000002	25.205301	76	0	0	0	0	2	
1783083643	06:00:43	0	22.500002		25.909	26.448002	24.246	23.965002	23.989	27.314001	29.000002		76	0	0	0	0	2	
1783083659	06:00:59	0	22.500002	25.178352	25.839	26.401001	24.246	23.895	23.965002	27.314001	30.000002	25.178352	76	0	0	0	0	2	
1783083674	06:01:14	0	22.500002	25.135603	25.816002	26.378002	24.2	23.919	23.919	27.150002	29.000002	25.135603	76	0	0	0	0	2	
1783083689	06:01:29	0	22.500002	25.136402	25.839	26.378002	24.176	23.895	23.919	27.268002	29.000002	25.136402	76	0	0	0	0	2	
1783083704	06:01:44	0	22.500002	25.150702	25.816002	26.448002	24.2	23.895	23.919	27.788002	30.000002	25.150702	76	0	0	0	0	2	
1783083719	06:01:59	0	22.500002	25.266603	26.097002	26.518002	24.2	23.825	23.895	27.543001	30.000002	25.266603	76	0	0	0	0	2	
1783083734	06:02:14	0	22.500002	25.234701	26.003002	26.471	24.223001	23.872002	23.942001	27.408	30.000002	25.234701	76	0	0	0	0	2	
1783083749	06:02:29	0	22.500002	25.217203	26.026001	26.518002	24.2	23.872002	23.919	28.099	32.0	25.217203	76	0	0	0	0	2	
1783083765	06:02:45	0	22.500002	26.33055	28.166002	28.300001	24.551	23.942001	23.919	30.793001	38.0	26.33055	76	0	0	0	0	2	
1783083780	06:03:00	0	22.6	26.766953	28.678001	28.656002	24.879002	23.989	23.965002	31.171001	48.000004	26.766953	76	0	0	0	0	2	
1783083795	06:03:15	0	22.500002	28.600153	31.861002	31.772001	25.581001	24.223001	24.036001	36.402	53.000004	28.600153	76	0	0	0	0	2	
1783083810	06:03:30	0	22.6	29.973103	34.02	33.286003	26.284	24.340002	24.176	38.094	47.000004	29.973103	76	0	0	0	0	2	
1783083825	06:03:45	0	22.7	29.6234	32.596	32.084	26.776001	24.504002	24.364	35.0	43.000004	29.6234	76	0	0	0	0	2	
1783083840	06:04:00	0	22.800001	29.704052	32.818	32.640003	26.823002	24.855001	24.574001	36.602	53.000004	29.704052	76	0	0	0	0	2	
1783083856	06:04:16	0	22.900002	30.6736	34.377003	34.154003	27.244001	24.996	24.691002	38.895	57.000004	30.6736	76	0	0	0	0	2	
1783083871	06:04:31	0	23.000002	31.430202	35.133003	34.577003	27.899002	25.183	24.926	38.495003	47.000004	31.430202	76	0	0	0	0	2	
1783083886	06:04:46	0	23.1	30.872452	33.954002	33.397003	27.966002	25.277	25.066002	36.358	46.000004	30.872452	76	0	0	0	0	2	
1783083901	06:05:01	0	23.2	31.284752	34.888	34.599003	28.010002	25.581001	25.230001	39.140003	56.000004	31.284752	76	0	0	0	0	2	
1783083916	06:05:16	0	23.7	32.752052	37.404003	36.736	28.567001	25.816002	25.488	42.258003	61.000004	32.752052	76	0	0	0	0	2	
1783083931	06:05:31	0	23.6	33.14595	37.471	36.870003	29.145	25.862001	25.511002	41.937	51.000004	33.14595	76	0	0	0	0	2	
1783083947	06:05:47	0	23.7	32.2731	35.623	35.067	29.145	26.143002	25.675001	38.183002	48.000004	32.2731	76	0	0	0	0	2	
1783083962	06:06:02	0	23.900002	32.5754	36.447002	36.024002	29.19	26.307001	25.769001	40.609	58.000004	32.5754	76	0	0	0	0	2	
