epoch	host_time	pid	memavail_kb	total_pss_kb	total_rss_kb	gl_mtrack_kb	egl_mtrack_kb	swap_pss_kb
1783075684	03:48:05	5511	529756	1842279	1816964	1502488	58140	108463
1783075690	03:48:10	5511	300856					
1783075695	03:48:15	5511	329116					
1783075700	03:48:20	5511	334756					
1783075705	03:48:26	5511	354780					
1783075711	03:48:31	5511	344484					
1783075716	03:48:36	5511	331752	2019759	1969428	1688268	58140	135050
1783075721	03:48:42	5511	335320					
1783075727	03:48:47	5511	330984					
1783075732	03:48:52	5511	341316					
1783075737	03:48:57	5511	321272					
1783075742	03:49:02	5511	307644					
1783075747	03:49:08	5511	320008	2019142	1971520	1680756	58140	133540
1783075753	03:49:13	5511	319180					
1783075758	03:49:18	5511	316672					
1783075763	03:49:23	5511	1713772					
1783075768	03:49:28	5511	662208					
1783075773	03:49:33	5511	505052					
1783075778	03:49:39	5511	506064	1990673	1973976	1677136	58140	96772
1783075784	03:49:44	5511	513640					
1783075789	03:49:50	5511	508588					
1783075795	03:49:55	5511	490824					
1783075800	03:50:00	5511	470340					
1783075805	03:50:05	5511	473216					
1783075810	03:50:11	5511	473148	1995857	1982892	1672784	58140	100374
1783075816	03:50:16	5511	444632					
1783075821	03:50:21	5511	473748					
1783075826	03:50:26	5511	1875844					
1783075831	03:50:31	5511	1873680					
1783075836	03:50:36	5511	1872196					
1783075841	03:50:42	5511	1873660	295014	305832	53732	58140	81570
1783075847	03:50:47	5511	1866808					
1783075852	03:50:52	5511	1864688					
1783075857	03:50:57	5511	1860952					
1783075862	03:51:02	5511	1849684					
1783075867	03:51:07	5511	1847464					
1783075872	03:51:13	5511	1845192	305438	316340	57844	58140	81502
1783075878	03:51:18	5511	1772412					
1783075883	03:51:23	5511	861692					
1783075888	03:51:28	5511	725868					
1783075893	03:51:33	5511	719128					
1783075898	03:51:38	5511	714256					
1783075903	03:51:44	5511	727208	1992612	1962396	1675340	58140	113400
1783075909	03:51:49	5511	713540					
1783075914	03:51:54	5511	711476					
1783075919	03:51:59	5511	694992					
1783075924	03:52:04	5511	698684					
1783075929	03:52:10	5511	696028					
1783075935	03:52:15	5511	696396	946245	940776	632792	58140	91704
1783075940	03:52:20	5511	2111576					
1783075945	03:52:25	5511	2104944					
1783075950	03:52:31	5511	2085572					
1783075956	03:52:36	5511	2082656					
1783075961	03:52:41	5511	2080508					
1783075966	03:52:46	5511	2074492	308872	309452	57848	58140	86512
1783075971	03:52:52	5511	2077936					
1783075977	03:52:57	5511	2076556					
1783075982	03:53:02	5511	2054144					
1783075987	03:53:07	5511	2054804					
1783075992	03:53:12	5511	2052928					
1783075997	03:53:18	5511	2049628	311459	317940	55796	58140	85828
1783076003	03:53:23	5511	2056856					
1783076008	03:53:28	5511	2024800					
1783076013	03:53:33	5511	1084612					
1783076018	03:53:38	5511	1025928					
1783076023	03:53:43	5511	1013128					
1783076028	03:53:49	5511	1007492	2371839	2320604	1677388	58140	132094
1783076034	03:53:54	5511	990680					
1783076039	03:53:59	5511	944600					
1783076044	03:54:04	5511	945620					
1783076049	03:54:09	5511	941380					
