epoch	host_time	pid	memavail_kb	total_pss_kb	total_rss_kb	gl_mtrack_kb	egl_mtrack_kb	swap_pss_kb
1783080713	05:11:53	30062	1052196	2438260	2391200	1688340	58140	137120
1783080719	05:11:59	30062	974488					
1783080724	05:12:04	30062	878372					
1783080729	05:12:09	30062	881112					
1783080734	05:12:14	30062	868648					
1783080739	05:12:19	30062	842208					
1783080744	05:12:24	30062	845112	2262818	2221108	1684876	58140	134792
1783080750	05:12:30	30062	842804					
1783080755	05:12:35	30062	761488					
1783080760	05:12:40	30062	764356					
1783080765	05:12:45	30062	761448					
1783080770	05:12:50	30062	764760					
1783080775	05:12:55	30062	758196	2036488	1989968	1685368	58140	142576
1783080781	05:13:01	30062	784004					
1783080786	05:13:06	30062	778908					
1783080791	05:13:11	30062	778084					
1783080796	05:13:16	30062	764452					
1783080801	05:13:21	30062	795288					
1783080806	05:13:26	30062	791960	2033250	1971648	1684872	58140	156652
1783080812	05:13:32	30062	792716					
1783080817	05:13:37	30062	788260					
1783080822	05:13:42	30062	782372					
1783080827	05:13:47	30062	777268					
1783080833	05:13:53	30062	779320					
1783080838	05:13:58	30062	772180	2030766	1969552	1682800	58140	156400
1783080843	05:14:03	30062	769732					
1783080848	05:14:08	30062	763472					
1783080854	05:14:14	30062	763388					
1783080859	05:14:19	30062	754484					
1783080864	05:14:24	30062	754892					
1783080869	05:14:29	30062	752328	1908092	1847056	1559456	58140	156232
1783080874	05:14:34	30062	757852					
1783080880	05:14:40	30062	756004					
1783080885	05:14:45	30062	753572					
1783080890	05:14:50	30062	632308					
1783080895	05:14:55	30062	629664					
1783080900	05:15:00	30062	618412	2008499	1945984	1684004	58140	157610
1783080906	05:15:06	30062	624536					
1783080911	05:15:11	30062	623632					
1783080916	05:15:16	30062	619356					
1783080921	05:15:21	30062	603048					
1783080926	05:15:26	30062	602100					
1783080931	05:15:31	30062	599012	2005957	1943532	1681460	58140	157550
1783080937	05:15:37	30062	614388					
1783080942	05:15:42	30062	2004388					
1783080947	05:15:47	30062	2034500					
1783080952	05:15:52	30062	2037916					
1783080957	05:15:57	30062	2036100					
1783080962	05:16:02	30062	1948824	2671918	2679636	1101952	58140	87454
1783080968	05:16:08	30062	1342456					
1783080973	05:16:13	30062	1239068					
1783080978	05:16:18	30062	1104356					
1783080983	05:16:23	30062	1078484					
1783080989	05:16:29	30062	1078516					
1783080994	05:16:34	30062	1064548	2393597	2329208	1676960	58140	151561
1783080999	05:16:39	30062	1056480					
1783081004	05:16:44	30062	939620					
1783081010	05:16:50	30062	930144					
1783081015	05:16:55	30062	896380					
1783081020	05:17:00	30062	877424					
1783081025	05:17:05	30062	885208	2135555	2075772	1563860	58140	150931
1783081031	05:17:11	30062	895048					
1783081036	05:17:16	30062	893960					
1783081041	05:17:21	30062	864792					
1783081046	05:17:26	30062	866048					
1783081051	05:17:31	30062	864232					
1783081056	05:17:36	30062	862392	2067310	2008776	1684296	58140	150224
1783081062	05:17:42	30062	854312					
1783081067	05:17:47	30062	825880					
1783081072	05:17:52	30062	837844					
1783081077	05:17:57	30062	834112					
1783081082	05:18:02	30062	831344					
1783081087	05:18:07	30062	829328	2019068	1960880	1685792	58140	150061
1783081093	05:18:13	30062	833516					
1783081098	05:18:18	30062	821940					
1783081103	05:18:23	30062	826016					
1783081108	05:18:28	30062	824640					
1783081113	05:18:33	30062	814564					
1783081118	05:18:38	30062	846352	2008430	1940136	1686312	58140	159642
1783081124	05:18:44	30062	850384					
1783081129	05:18:49	30062	834704					
1783081134	05:18:54	30062	836976					
1783081139	05:18:59	30062	821544					
1783081144	05:19:04	30062	818768					
1783081150	05:19:10	30062	818032	2003464	1935272	1681680	58140	159590
1783081155	05:19:15	30062	818868					
1783081160	05:19:20	30062	801816					
1783081165	05:19:25	30062	802032					
1783081170	05:19:30	30062	797476					
1783081176	05:19:36	30062	799480					
1783081181	05:19:41	30062	776864	1883239	1815448	1563796	58140	159546
1783081186	05:19:46	30062	781224					
1783081191	05:19:51	30062	777444					
1783081196	05:19:56	30062	766868					
1783081202	05:20:02	30062	767712					
1783081207	05:20:07	30062	767688					
1783081212	05:20:12	30062	692960	2004573	1934776	1685768	58140	161779
1783081218	05:20:18	30062	593352					
1783081223	05:20:23	30062	701540					
