getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "App" OR process == "WebContent" OR subsystem CONTAINS "ai.elizaos" OR composedMessage CONTAINS "mixed" OR composedMessage CONTAINS "WebSocket""
Timestamp                       (process)[PID]    
2026-07-04 17:14:41.054845-0400  localhost App[46840]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d04000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-07-04 17:14:41.057579-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-07-04 17:14:41.057705-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-07-04 17:14:41.058132-0400  localhost App[46840]: (libxpc.dylib) [com.apple.xpc:connection] [0x106e04080] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-07-04 17:14:41.058447-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-07-04 17:14:41.058575-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:connection] Creating connection to com.apple.runningboard
2026-07-04 17:14:41.058620-0400  localhost App[46840]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d14000] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2026-07-04 17:14:41.059017-0400  localhost App[46840]: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-07-04 17:14:41.059674-0400  localhost App[46840]: (RunningBoardServices) Created Activity ID: 0x7d5b600, Description: didChangeInheritances
2026-07-04 17:14:41.060696-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-07-04 17:14:41.060884-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-07-04 17:14:41.061064-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-07-04 17:14:41.061322-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0x600002100aa0>
2026-07-04 17:14:41.061595-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:assertion] Acquiring assertion: <RBSAssertionDescriptor| "Shared Background Assertion 0 for ai.elizaos.app" ID:(null) target:46840>
2026-07-04 17:14:41.061690-0400  localhost App[46840]: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2026-07-04 17:14:41.060944-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2026-07-04 17:14:41.061908-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<ai.elizaos.app((null))>
2026-07-04 17:14:41.062132-0400  localhost App[46840]: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.workspace-service
2026-07-04 17:14:41.062334-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: com.apple.frontboard.systemappservices
2026-07-04 17:14:41.062680-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002100aa0>
2026-07-04 17:14:41.062775-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x600001701000>: taskID = 1, taskName = Launch Background Task for Coalescing, creationTime = 134075 (elapsed = 0).
2026-07-04 17:14:41.062974-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2026-07-04 17:14:41.063677-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <BSServiceConnectionEndpoint: 0x600001705ac0; target: com.apple.frontboard.systemappservices; service: com.apple.frontboard.workspace-service>
2026-07-04 17:14:41.063801-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c05200 com.apple.frontboard.systemappservices> attempting immediate handshake from activate
2026-07-04 17:14:41.064079-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneOcclusionSettings> on FBSSceneSettings
2026-07-04 17:14:41.064103-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0x600002c05200 com.apple.frontboard.systemappservices> sent handshake
2026-07-04 17:14:41.064480-0400  localhost App[46840]: (RunningBoardServices) [com.apple.runningboard:general] Added observer for process assertions expiration warning: <_RBSExpirationWarningClient: 0x6000002144c0>
2026-07-04 17:14:41.064555-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneInterfaceProtectionSceneSettings> on FBSSceneSettings
2026-07-04 17:14:41.064983-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UIHomeAffordanceHostSceneSettings> on FBSSceneSettings
2026-07-04 17:14:41.065302-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2026-07-04 17:14:41.065534-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2026-07-04 17:14:41.066190-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneTransitioningHostSettings> on FBSSceneSettings
2026-07-04 17:14:41.066731-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingContentSizePreferenceClientSettings> on FBSSceneClientSettings
2026-07-04 17:14:41.067062-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneHostingTraitCollectionPropagationSettings on FBSSceneSettings
2026-07-04 17:14:41.067542-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationSettings> on FBSSceneSettings
2026-07-04 17:14:41.067989-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingSheetPresentationClientSettings> on FBSSceneClientSettings
2026-07-04 17:14:41.068397-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <_UISceneHostingEventDeferringHostProviding> on FBSSceneSettings
2026-07-04 17:14:41.068848-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneSettings
2026-07-04 17:14:41.069300-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension <UIKit__UITypedKeyValueSceneSettings> on FBSSceneClientSettings
2026-07-04 17:14:41.069719-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneSettingsCore on FBSSceneSettings
2026-07-04 17:14:41.070418-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneClientSettingsCore on FBSSceneClientSettings
2026-07-04 17:14:41.070676-0400  localhost App[46840]: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 1, category name = (null)
2026-07-04 17:14:41.070975-0400  localhost App[46840]: (libAccessibility.dylib) [com.apple.Accessibility:AXSupportCommon] Read CategoryName: per-app = 0, category name = (null)
2026-07-04 17:14:41.071180-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneSettings setting counterpart class: UIApplicationSceneSettings
2026-07-04 17:14:41.071417-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneClientSettings setting counterpart class: UIApplicationSceneClientSettings
2026-07-04 17:14:41.071552-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneTransitionContextCore on FBSSceneTransitionContext
2026-07-04 17:14:41.072449-0400  localhost App[46840]: (FrontBoardServices) [com.apple.FrontBoard:Common] [FBSScene] [(FBSceneManager):sceneID:ai.elizaos.app-default] Created client agent: <UIApplicationSceneClientAgent: 0x600000008420>
2026-07-04 17:14:41.073078-0400  localhost App[46840]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] Registering for test daemon availability notify post.
2026-07-04 17:14:41.073362-0400  localhost App[46840]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-07-04 17:14:41.073467-0400  localhost App[46840]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-07-04 17:14:41.073580-0400  localhost App[46840]: (XCTTargetBootstrap) [com.apple.dt.xctest:Default] notify_get_state check indicated test daemon not ready.
2026-07-04 17:14:41.073823-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 11; deactivation reasons: 1024 -> 3072; animating application lifecycle event: 0
2026-07-04 17:14:41.074078-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:ViewServices] Launching as view service: NO
2026-07-04 17:14:41.077682-0400  localhost App[46840]: (UserNotifications) [com.apple.UserNotifications:Connections] [ai.elizaos.app] Creating a user notification center
2026-07-04 17:14:41.088324-0400  localhost App[46840]: (Foundation) [AgentWatchdog] bootstrapped (dormant until a local agent starts)
2026-07-04 17:14:41.088616-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason removed: 10; deactivation reasons: 3072 -> 2048; animating application lifecycle event: 0
2026-07-04 17:14:41.088934-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Touch: not found, path="/System/Library/EventTimingProfiles/Sim.Touch.plist"
2026-07-04 17:14:41.089000-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:EventBus] Event Timing Profile for Pencil: not found, path="/System/Library/EventTimingProfiles/Sim.Pencil.plist"
2026-07-04 17:14:41.089065-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:UpdateScheduler] Selected display: name=LCD (PurpleMain), id=1
2026-07-04 17:14:41.092566-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Will add backgroundTask with taskName: Persistent SceneSession Map Update, expirationHandler: <__NSGlobalBlock__: 0x1e08e83c0>
2026-07-04 17:14:41.092640-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Reusing background assertion <BKSProcessAssertion: 0x600002100aa0>
2026-07-04 17:14:41.092673-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <BKSProcessAssertion: 0x600002100aa0>
2026-07-04 17:14:41.092714-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <_UIBackgroundTaskInfo: 0x6000017013c0>: taskID = 2, taskName = Persistent SceneSession Map Update, creationTime = 134075 (elapsed = 0).
2026-07-04 17:14:41.092940-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 5; deactivation reasons: 2048 -> 2080; animating application lifecycle event: 1
2026-07-04 17:14:41.093153-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 1 -> 1, <UIWindowScene: 0x102e07ee0> (6B11167E-B1D2-4EFB-9472-28332297DFCD)
2026-07-04 17:14:41.095424-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x102e07ee0> (6B11167E-B1D2-4EFB-9472-28332297DFCD)
2026-07-04 17:14:41.095583-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:HomeAffordanceObservation] Initializing: <_UIHomeAffordanceSceneNotifier: 0x600002903560>; with scene: <UIWindowScene: 0x102e07ee0>
2026-07-04 17:14:41.095710-0400  localhost App[46840]: (BacklightServices) [com.apple.BacklightServices:scenes] 0x600000c25800 setDelegate:<0x600000c24c30 _UIBacklightEnvironment> hasDelegate:YES for environment:sceneID:ai.elizaos.app-default
2026-07-04 17:14:41.096020-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x102e07ee0> (6B11167E-B1D2-4EFB-9472-28332297DFCD)
2026-07-04 17:14:41.096090-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x6000029035d0] Initialized with scene: <UIWindowScene: 0x102e07ee0>; behavior: <_UIEventDeferringBehavior_iOS: 0x600000213de0>; systemShellManagesKeyboardFocus: 1
2026-07-04 17:14:41.096901-0400  localhost App[46840]: (libxpc.dylib) [com.apple.xpc:connection] [0x104006940] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-07-04 17:14:41.098342-0400  localhost App[46840]: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x600002101130; process scope; status: target> was:none
2026-07-04 17:14:41.098407-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to LastOneWins
2026-07-04 17:14:41.098443-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 1; scene: UIWindowScene: 0x102e07ee0; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Aai.elizaos.app-default
2026-07-04 17:14:41.098497-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x6000029035d0] Scene target of event deferring environments did update: scene: 0x102e07ee0; current systemShellManagesKeyboardFocus: 1; systemShellManagesKeyboardFocusForScene: 1; eligibleForRecordRemoval: 1;
2026-07-04 17:14:41.098529-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene became target of keyboard event deferring environment: UIWindowScene: 0x102e07ee0; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Aai.elizaos.app-default
2026-07-04 17:14:41.098564-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to SystemShellManaged
2026-07-04 17:14:41.098618-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:KeyWindow] Key window needs update: 0; currentKeyWindowScene: 0x0; evaluatedKeyWindowScene: 0x102e07ee0; currentApplicationKeyWindow: 0x0; evaluatedApplicationKeyWindow: 0x0; reason: UIWindowScene: 0x102e07ee0: Window scene became target of keyboard environment
2026-07-04 17:14:41.098835-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x102e07ee0> (6B11167E-B1D2-4EFB-9472-28332297DFCD)
2026-07-04 17:14:41.099052-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x102e07ee0> (6B11167E-B1D2-4EFB-9472-28332297DFCD)
2026-07-04 17:14:41.099378-0400  localhost App[46840]: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x102e07ee0> (6B11167E-B1D2-4EFB-9472-28332297DFCD)
2026-07-04 17:14:41.112729-0400  localhost App[46840]: (CFNetwork) [com.apple.CFNetwork:Default] Initializing NSHTTPCookieStorage singleton
2026-07-04 17:14:41.113351-0400  localhost App[46840]: (CFNetwork) [com.apple.CFNetwork:Default] Initializing CFHTTPCookieStorage singleton
2026-07-04 17:14:41.113391-0400  localhost App[46840]: (CFNetwork) [com.apple.CFNetwork:Default] Creating default cookie storage with process/bundle identifier
2026-07-04 17:14:41.114916-0400  localhost App[46840]: (CFNetwork) DiskCookieStorage changing policy from 2 to 0, cookie file: file:///Users/shawwalters/Library/Developer/CoreSimulator/Devices/F165C3A3-5069-4174-A40C-89F0BCC4B9FB/data/Containers/Data/Application/CFD7960F-99A7-4DC4-8938-FEE8064ECADD/Library/Cookies/ai.elizaos.app.binarycookies
2026-07-04 17:14:41.118204-0400  localhost App[46840]: (WebKit) 0x102e06478 - WebsiteDataStore::WebsiteDataStore sessionID=1
2026-07-04 17:14:41.118383-0400  localhost App[46840]: (WebKit) 0x12b074190 - NetworkProcessProxy::NetworkProcessProxy
2026-07-04 17:14:41.120104-0400  localhost App[46840]: (libxpc.dylib) [com.apple.xpc:connection] [0x102e08800] activating connection: mach=true listener=false peer=false name=com.apple.lsd.mapdb
2026-07-04 17:14:41.119944-0400  localhost App[46840]: (libsystem_containermanager.dylib) Created Activity ID: 0x7d5b601, Description: container_system_group_path_for_identifier
2026-07-04 17:14:41.121376-0400  localhost App[46840]: (libsystem_containermanager.dylib) [com.apple.containermanager:xpc] Requesting container lookup; class = 13, identifier = (null), group_identifier = systemgroup.com.apple.configurationprofiles, create = 1, temp = 0, euid = 501, uid = 501
2026-07-04 17:14:41.121413-0400  localhost App[46840]: (libsystem_containermanager.dylib) Created Activity ID: 0x7d5b602, Description: container_query_t
2026-07-04 17:14:41.121441-0400  localhost App[46840]: (libsystem_containermanager.dylib) [com.apple.containermanager:xpc] Query; euid = 501, uid = 501, class = 13, identifier = [(null)](0), flags = 900000003
